"ID","Input","Output","se_variance","se_lengthscale","noise"
"1",-18.5,71.7144193568705,1.44,0.63,0.11
"1",-16.5,45.8582624059003,1.44,0.63,0.11
"1",-13,62.3748365953246,1.44,0.63,0.11
"1",-11,57.1090374054507,1.44,0.63,0.11
"1",-10.5,62.0832658150214,1.44,0.63,0.11
"1",-10,66.2275580720564,1.44,0.63,0.11
"1",-8.5,64.1420175148915,1.44,0.63,0.11
"1",-7.5,45.6578710185692,1.44,0.63,0.11
"1",-7,35.9372561663361,1.44,0.63,0.11
"1",-4,40.3347636423913,1.44,0.63,0.11
"1",-3,38.7470653337082,1.44,0.63,0.11
"1",-2,52.3694922572679,1.44,0.63,0.11
"1",0,45.8480324647916,1.44,0.63,0.11
"1",4,19.4880062927123,1.44,0.63,0.11
"1",6,26.4055937312648,1.44,0.63,0.11
"1",6.5,26.5166898149089,1.44,0.63,0.11
"1",9.5,19.552711552248,1.44,0.63,0.11
"1",13,33.8546655022588,1.44,0.63,0.11
"1",16.5,36.5183542145762,1.44,0.63,0.11
"1",18,35.9856440663411,1.44,0.63,0.11
"2",-18.5,69.7749806535279,1.44,0.63,0.11
"2",-16.5,45.1423405220663,1.44,0.63,0.11
"2",-13,64.3565594475841,1.44,0.63,0.11
"2",-11,55.3715353415456,1.44,0.63,0.11
"2",-10.5,60.5900182347559,1.44,0.63,0.11
"2",-10,66.3381366108044,1.44,0.63,0.11
"2",-8.5,63.0078499019603,1.44,0.63,0.11
"2",-7.5,42.1262041883143,1.44,0.63,0.11
"2",-7,32.6975357153691,1.44,0.63,0.11
"2",-4,41.7051925210476,1.44,0.63,0.11
"2",-3,38.1559453365831,1.44,0.63,0.11
"2",-2,49.6074864213487,1.44,0.63,0.11
"2",0,37.9755471285956,1.44,0.63,0.11
"2",4,21.2436856407603,1.44,0.63,0.11
"2",6,30.7342201304552,1.44,0.63,0.11
"2",6.5,30.9229402594919,1.44,0.63,0.11
"2",9.5,23.2386472028967,1.44,0.63,0.11
"2",13,33.3497673599312,1.44,0.63,0.11
"2",16.5,36.0732645134578,1.44,0.63,0.11
"2",18,35.5080081467266,1.44,0.63,0.11
"3",-18.5,68.0770597170678,1.44,0.63,0.11
"3",-16.5,42.3156965286681,1.44,0.63,0.11
"3",-13,63.771105132926,1.44,0.63,0.11
"3",-11,58.5373938037757,1.44,0.63,0.11
"3",-10.5,62.579552638931,1.44,0.63,0.11
"3",-10,67.1920357056303,1.44,0.63,0.11
"3",-8.5,67.1296433815827,1.44,0.63,0.11
"3",-7.5,46.1289152535273,1.44,0.63,0.11
"3",-7,36.6435143088415,1.44,0.63,0.11
"3",-4,40.2735133013154,1.44,0.63,0.11
"3",-3,37.401838473343,1.44,0.63,0.11
"3",-2,48.7843849675575,1.44,0.63,0.11
"3",0,40.6798721591053,1.44,0.63,0.11
"3",4,19.1984412777575,1.44,0.63,0.11
"3",6,28.6732293203566,1.44,0.63,0.11
"3",6.5,29.577493411929,1.44,0.63,0.11
"3",9.5,23.167973008713,1.44,0.63,0.11
"3",13,35.1986682387031,1.44,0.63,0.11
"3",16.5,32.4487767037445,1.44,0.63,0.11
"3",18,32.4360530957146,1.44,0.63,0.11
"4",-18.5,71.2794707307811,1.44,0.63,0.11
"4",-16.5,45.0663487271388,1.44,0.63,0.11
"4",-13,65.1413909890278,1.44,0.63,0.11
"4",-11,53.2099652020629,1.44,0.63,0.11
"4",-10.5,57.7238050012124,1.44,0.63,0.11
"4",-10,64.4601701907377,1.44,0.63,0.11
"4",-8.5,65.0096887561754,1.44,0.63,0.11
"4",-7.5,44.9987669586448,1.44,0.63,0.11
"4",-7,36.0220086458709,1.44,0.63,0.11
"4",-4,40.6636363035294,1.44,0.63,0.11
"4",-3,37.4205289352623,1.44,0.63,0.11
"4",-2,45.6965540096959,1.44,0.63,0.11
"4",0,34.1422842826458,1.44,0.63,0.11
"4",4,17.9890236889573,1.44,0.63,0.11
"4",6,28.7145275545416,1.44,0.63,0.11
"4",6.5,29.3189425549901,1.44,0.63,0.11
"4",9.5,27.02908269257,1.44,0.63,0.11
"4",13,37.3214419091801,1.44,0.63,0.11
